GeneID,GeneName,n_records,tot_phen,best_p
SORBI_3007G112100,Enoyl-ACP reductase,2,12,1.799445e-13
SORBI_3007G112200,ENT domain-containing protein,2,12,1.799445e-13
SORBI_3006G048775,Nucleoplasmin-like domain-containing protein,2,11,3.126946e-13
SORBI_3010G147250,poly(A)-specific ribonuclease,2,5,7.295295e-13
SORBI_3010G147300,Poly(A)-specific ribonuclease,2,5,7.295295e-13
SORBI_3010G147350,poly(A)-specific ribonuclease,2,5,7.295295e-13
SORBI_3010G147833,Uncharacterized protein,2,5,7.295295e-13
SORBI_3010G147966,Uncharacterized protein,2,4,7.295295e-13
SORBI_3008G062700,Uncharacterized protein,2,9,7.506041e-13
SORBI_3006G036300,Flowering-promoting factor 1-like protein 3,2,5,9.59957e-13
SORBI_3006G036400,RING-type domain-containing protein,2,5,9.59957e-13
SORBI_3001G258000,Protein kinase domain-containing protein,2,8,1.005971e-12
SORBI_3001G258100,Subtilisin-like protease,2,8,1.005971e-12
SORBI_3001G257800,Uncharacterized protein,2,7,1.005971e-12
SORBI_3001G257300,F-box domain-containing protein,2,6,1.005971e-12
SORBI_3001G257600,Uncharacterized protein,2,6,1.005971e-12
SORBI_3001G257650,Uncharacterized protein,2,6,1.005971e-12
SORBI_3001G257200,TFA2 Winged helix domain-containing protein,2,3,1.005971e-12
SORBI_3010G142650,Uncharacterized protein,2,7,1.048507e-12
SORBI_3010G142600,Uncharacterized protein,2,5,1.048507e-12
SORBI_3001G295500,Uncharacterized protein,2,2,1.165916e-12
SORBI_3001G295600,Uncharacterized protein,2,2,1.165916e-12
SORBI_3001G356300,Uncharacterized protein,2,10,1.182781e-12
SORBI_3001G357200,RRM domain-containing protein,2,10,1.182781e-12
SORBI_3003G079800,Protein kinase domain-containing protein,2,5,1.367717e-12
SORBI_3001G259600,Protein TIFY,2,12,1.626147e-12
SORBI_3005G125400,S-type anion channel SLAH3,2,2,2.08943e-12
SORBI_3009G111000,Pectinesterase,2,11,2.113399e-12
SORBI_3009G111200,AP2_ERF domain-containing protein,2,11,2.113399e-12
SORBI_3003G077300,Uncharacterized protein,2,3,2.1307e-12
SORBI_3003G077400,Peptidase M50 domain-containing protein,2,3,2.1307e-12
SORBI_3010G140100,Uncharacterized protein,2,3,2.450644e-12
SORBI_3001G260850,Uncharacterized protein,2,2,2.490756e-12
SORBI_3010G134801,CCHC-type domain-containing protein,2,5,3.193903e-12
SORBI_3010G134900,AT-hook motif nuclear-localized protein,2,5,3.193903e-12
SORBI_3010G135100,Uncharacterized protein,2,2,3.193903e-12
SORBI_3010G138900,CMP_dCMP-type deaminase domain-containing protein,2,3,4.187232e-12
SORBI_3010G125700,Proteasome activator subunit 4,2,6,5.483313e-12
SORBI_3010G125900,Uncharacterized protein,2,6,5.483313e-12
SORBI_3010G126100,Peptidase A1 domain-containing protein,2,6,5.483313e-12
SORBI_3010G126000,DUF2415 domain-containing protein,2,5,5.483313e-12
SORBI_3010G126200,Uncharacterized protein,2,5,5.483313e-12
SORBI_3010G125866,Uncharacterized protein,2,4,5.483313e-12
SORBI_3010G126300,Uncharacterized protein,2,4,5.483313e-12
SORBI_3001G257100,Protein BIG GRAIN 1-like,2,4,5.511164e-12
SORBI_3010G150900,Uncharacterized protein,2,9,5.936528e-12
SORBI_3010G151000,CMP-sialic acid transporter 1,2,9,5.936528e-12
SORBI_3008G105366,Uncharacterized protein,2,7,7.031297e-12
SORBI_3010G151325,Protein FAR1-RELATED SEQUENCE,2,4,7.256755e-12
SORBI_3001G021400,Tr-type G domain-containing protein,2,4,7.25892e-12
SORBI_3001G021000,Nicotinate phosphoribosyltransferase,2,2,7.25892e-12
SORBI_3001G021200,Uncharacterized protein,2,2,7.25892e-12
SORBI_3001G021500,Cellulose synthase,2,2,7.25892e-12
SORBI_3001G021601,Uncharacterized protein,2,2,7.25892e-12
SORBI_3003G077500,Uncharacterized protein,2,3,1.01863e-11
SORBI_3003G077600,DNA damage-binding protein 2,2,3,1.01863e-11
SORBI_3003G077700,Protein root UVB sensitive 5,2,3,1.01863e-11
SORBI_3003G077800,Uncharacterized protein,2,3,1.01863e-11
SORBI_3003G077900,Vesicle-fusing ATPase,2,3,1.01863e-11
SORBI_3003G078000,Uncharacterized protein,2,3,1.01863e-11
SORBI_3010G134500,Exonuclease domain-containing protein,2,4,1.277089e-11
SORBI_3001G259400,Protein TIFY,2,12,1.45935e-11
SORBI_3001G259100,SPX domain-containing protein,2,11,1.45935e-11
SORBI_3001G259200,Glycosyltransferase,3,9,1.45935e-11
SORBI_3001G258801,Uncharacterized protein,2,8,1.45935e-11
SORBI_3001G259250,Uncharacterized protein,3,8,1.45935e-11
SORBI_3005G182900,NA,2,2,1.466659e-11
SORBI_3005G183100,Sulfotransferase,2,2,1.466659e-11
SORBI_3005G183200,14-3-3 domain-containing protein,2,2,1.466659e-11
SORBI_3008G104601,Uncharacterized protein,2,3,1.502745e-11
SORBI_3008G103900,RRM domain-containing protein,2,2,1.502745e-11
SORBI_3001G259000,Translation initiation factor eIF-2B beta subunit,3,13,1.726483e-11
SORBI_3008G095500,W2 domain-containing protein,2,10,1.847673e-11
SORBI_3008G095633,Uncharacterized protein,2,10,1.847673e-11
SORBI_3008G095766,DUF6749 domain-containing protein,2,10,1.847673e-11
SORBI_3008G095900,RING-type domain-containing protein,2,10,1.847673e-11
SORBI_3008G096050,Aminotransferase-like plant mobile domain-containing protein,2,10,1.847673e-11
SORBI_3008G096100,Aminopeptidase,2,10,1.847673e-11
SORBI_3008G096150,Uncharacterized protein,2,10,1.847673e-11
SORBI_3008G096200,Protein kinase domain-containing protein,2,10,1.847673e-11
SORBI_3008G096300,Uncharacterized protein,2,10,1.847673e-11
SORBI_3008G095200,Uncharacterized protein,2,10,1.890035e-11
SORBI_3008G095400,Secreted protein,2,10,1.890035e-11
SORBI_3008G095150,Uncharacterized protein,2,9,1.890035e-11
SORBI_3008G095100,SAM domain-containing protein,2,9,2.2071e-11
SORBI_3005G098900,Uncharacterized protein,2,5,2.424645e-11
SORBI_3005G186700,Carboxypeptidase,2,2,3.372341e-11
