Condition,Kind,Trait,n,h2_allmarkers,h2_hetfiltered,lo_allmarkers,lo_hetfiltered,hi_allmarkers,hi_hetfiltered,delta
LIN,species,PC(16:1/18:2),357,0,0,0,0,0.044,0.043,0
LIN,species,PC(16:1/20:4),357,0,0,0,0,0.088,0.088,0
LIN,species,PC(16:1/20:5),357,0,0,0,0,0.037,0.037,0
LIN,species,PC(16:2/16:1),357,0.004,0.004,0,0,0.087,0.086,0
LIN,species,PC(18:0/18:1),357,0.006,0.006,0,0,0.069,0.068,0
LIN,species,PC(18:0/18:2),357,0.006,0.006,0,0,0.111,0.11,0
LIN,species,PC(18:0/18:3),357,0.078,0.078,0,0,0.251,0.249,0
LIN,species,PC(18:0/20:2),357,0.016,0.015,0,0,0.107,0.106,-0.001
LIN,species,PC(18:0/20:3),357,0.151,0.15,0.039,0.038,0.314,0.312,-0.001
LIN,species,PC(18:0/20:4),357,0.079,0.079,0,0,0.262,0.26,0
LIN,species,PC(18:1/16:0),357,0.054,0.053,0,0,0.186,0.185,-0.001
LIN,species,PC(18:1/18:1),357,0.024,0.024,0,0,0.158,0.157,0
LIN,species,PC(18:1/18:2),357,0.125,0.124,0.027,0.027,0.345,0.343,-0.001
LIN,species,PC(18:1/20:1),357,0.08,0.08,0,0,0.255,0.253,0
LIN,species,PC(18:1/20:4),357,0.119,0.118,0.035,0.035,0.25,0.248,-0.001
LIN,species,PC(18:1/24:1),357,0.08,0.079,0,0,0.256,0.254,-0.001
LIN,species,PC(18:2/18:2),357,0,0,0,0,0.056,0.056,0
LIN,species,PC(18:2/20:0),357,0.017,0.017,0,0,0.138,0.136,0
